Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,Rest\Example.Api.Adapters.Rest.csproj,File,Rest\Connected Services\AuthenticationApi\AuthenticationApi.cs,1418,20,"M:System.Uri.#ctor(System.String,System.UriKind)",,,,,"request_.RequestUri = new System.Uri(url_, System.UriKind.RelativeOrAbsolute);"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,Rest\Example.Api.Adapters.Rest.csproj,File,Rest\Connected Services\AuthenticationApi\AuthenticationApi.cs,1418,20,T:System.Uri,,,,,"request_.RequestUri = new System.Uri(url_, System.UriKind.RelativeOrAbsolute);"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,Rest\Example.Api.Adapters.Rest.csproj,File,Rest\Connected Services\AuthenticationApi\AuthenticationApi.cs,1411,20,T:System.Net.Http.HttpContent,,,,,"request_.Content = new System.Net.Http.StringContent(string.Empty, System.Text.Encoding.UTF8, ""application/json"");"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,Rest\Example.Api.Adapters.Rest.csproj,File,Rest\Connected Services\AuthenticationApi\AuthenticationApi.cs,1376,28,T:System.Net.Http.HttpContent,,,,,var responseData_ = response_.Content == null ? null : await response_.Content.ReadAsStringAsync().ConfigureAwait(false);
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,Rest\Example.Api.Adapters.Rest.csproj,File,Rest\Connected Services\AuthenticationApi\AuthenticationApi.cs,1376,28,T:System.Net.Http.HttpContent,,,,,var responseData_ = response_.Content == null ? null : await response_.Content.ReadAsStringAsync().ConfigureAwait(false);
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,Rest\Example.Api.Adapters.Rest.csproj,File,Rest\Connected Services\AuthenticationApi\AuthenticationApi.cs,1358,28,T:System.Net.Http.HttpContent,,,,,foreach (var item_ in response_.Content.Headers)                                  headers_[item_.Key] = item_.Value;
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,Rest\Example.Api.Adapters.Rest.csproj,File,Rest\Connected Services\AuthenticationApi\AuthenticationApi.cs,1356,24,T:System.Net.Http.HttpContent,,,,,if (response_.Content != null && response_.Content.Headers != null)                          {                              foreach (var item_ in response_.Content.Headers)                                  headers_[item_.Key] = item_.Value;                          }
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,Rest\Example.Api.Adapters.Rest.csproj,File,Rest\Connected Services\AuthenticationApi\AuthenticationApi.cs,1356,24,T:System.Net.Http.HttpContent,,,,,if (response_.Content != null && response_.Content.Headers != null)                          {                              foreach (var item_ in response_.Content.Headers)                                  headers_[item_.Key] = item_.Value;                          }
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,Rest\Example.Api.Adapters.Rest.csproj,File,Rest\Connected Services\AuthenticationApi\AuthenticationApi.cs,1347,20,T:System.Uri,,,,,"request_.RequestUri = new System.Uri(url_, System.UriKind.RelativeOrAbsolute);"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,Rest\Example.Api.Adapters.Rest.csproj,File,Rest\Connected Services\AuthenticationApi\AuthenticationApi.cs,1347,20,"M:System.Uri.#ctor(System.String,System.UriKind)",,,,,"request_.RequestUri = new System.Uri(url_, System.UriKind.RelativeOrAbsolute);"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,Rest\Example.Api.Adapters.Rest.csproj,File,Rest\Connected Services\AuthenticationApi\AuthenticationApi.cs,1347,20,T:System.Uri,,,,,"request_.RequestUri = new System.Uri(url_, System.UriKind.RelativeOrAbsolute);"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,Rest\Example.Api.Adapters.Rest.csproj,File,Rest\Connected Services\AuthenticationApi\AuthenticationApi.cs,1307,28,T:System.Net.Http.HttpContent,,,,,var responseData_ = response_.Content == null ? null : await response_.Content.ReadAsStringAsync().ConfigureAwait(false);
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,Rest\Example.Api.Adapters.Rest.csproj,File,Rest\Connected Services\AuthenticationApi\AuthenticationApi.cs,1307,28,T:System.Net.Http.HttpContent,,,,,var responseData_ = response_.Content == null ? null : await response_.Content.ReadAsStringAsync().ConfigureAwait(false);
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,Rest\Example.Api.Adapters.Rest.csproj,File,Rest\Connected Services\AuthenticationApi\AuthenticationApi.cs,1294,28,T:System.Net.Http.HttpContent,,,,,foreach (var item_ in response_.Content.Headers)                                  headers_[item_.Key] = item_.Value;
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,Rest\Example.Api.Adapters.Rest.csproj,File,Rest\Connected Services\AuthenticationApi\AuthenticationApi.cs,1292,24,T:System.Net.Http.HttpContent,,,,,if (response_.Content != null && response_.Content.Headers != null)                          {                              foreach (var item_ in response_.Content.Headers)                                  headers_[item_.Key] = item_.Value;                          }
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,Rest\Example.Api.Adapters.Rest.csproj,File,Rest\Connected Services\AuthenticationApi\AuthenticationApi.cs,1292,24,T:System.Net.Http.HttpContent,,,,,if (response_.Content != null && response_.Content.Headers != null)                          {                              foreach (var item_ in response_.Content.Headers)                                  headers_[item_.Key] = item_.Value;                          }
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,Rest\Example.Api.Adapters.Rest.csproj,File,Rest\Connected Services\AuthenticationApi\AuthenticationApi.cs,1283,20,T:System.Uri,,,,,"request_.RequestUri = new System.Uri(url_, System.UriKind.RelativeOrAbsolute);"
